accession,evidence,location,MANUAL_MAP
P84001,ECO:0000269,Secreted,Extracellular
O18178,ECO:0000269,Cytoplasm,Cytoplasm
O04375,ECO:0000269,Nucleus,Nucleus
O04375,ECO:0000269,Cytoplasm,Cytoplasm
Q15172,ECO:0000269,Cytoplasm,Cytoplasm
Q15172,ECO:0000269,Nucleus,Nucleus
Q15172,ECO:0000269,Chromosome,Nucleus
O04376,ECO:0000269,Nucleus,Nucleus
O04376,ECO:0000269,Cytoplasm,Cytoplasm
Q15173,ECO:0000269,Cytoplasm,Cytoplasm
Q9ZQY6,ECO:0000269,Cytoplasm,Cytoplasm
P29372,ECO:0000269,Cytoplasm,Cytoplasm
P29372,ECO:0000269,Mitochondrion matrix,Mitochondrion
P29372,ECO:0000269,Nucleus,Nucleus
P0C603,ECO:0000269,Secreted,Extracellular
A0S864,ECO:0000269,Secreted,Extracellular
P0DMV6,ECO:0000269,Secreted,Extracellular
P85429,ECO:0000269,Secreted,Extracellular
P0C5H4,ECO:0000269,Secreted,Extracellular
P60304,ECO:0000269,Secreted,Extracellular
P01455,ECO:0000269,Secreted,Extracellular
P0CH80,ECO:0000269,Secreted,Extracellular
P01448,ECO:0000269,Secreted,Extracellular
P01467,ECO:0000269,Secreted,Extracellular
P01447,ECO:0000269,Secreted,Extracellular
P01456,ECO:0000269,Secreted,Extracellular
P01451,ECO:0000269,Secreted,Extracellular
P01468,ECO:0000269,Secreted,Extracellular
P86538,ECO:0000269,Secreted,Extracellular
Q33DV3,ECO:0000269,Cytoplasm,Cytoplasm
Q8LEV7,ECO:0000269,Cytoplasm,Cytoplasm
D4B0N9,ECO:0000269,Secreted,Extracellular
O18229,ECO:0000269,Nucleus,Nucleus
D4AYS6,ECO:0000269,Secreted,Extracellular
P0C2K0,ECO:0000269,Secreted,Extracellular
Q4ZFU2,ECO:0000269,Secreted,Extracellular
P46644,ECO:0000269,Plastid,Plastid
Q22397,ECO:0000269,Apical cell membrane,Cell.membrane
Q22067,ECO:0000269,Cytoplasm,Cytoplasm
P17174,ECO:0000269,Cytoplasm,Cytoplasm
Q8GZ52,ECO:0000269,Cell membrane,Cell.membrane
Q7PC88,ECO:0000269,Cell membrane,Cell.membrane
O81016,ECO:0000269,Cell membrane,Cell.membrane
Q9XIE2,ECO:0000269,Cell membrane,Cell.membrane
Q9XIE2,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9XIE2,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9LFH0,ECO:0000269,Cell membrane,Cell.membrane
Q09428,ECO:0000269,Cell membrane,Cell.membrane
Q96J66,ECO:0000269,Cell membrane,Cell.membrane
Q96J66,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
E9RBG1,ECO:0000269,Cell membrane,Cell.membrane
P33897,ECO:0000269,Peroxisome membrane,Peroxisome
P33897,ECO:0000269,Mitochondrion membrane,Mitochondrion
P33897,ECO:0000269,Lysosome membrane,Lysosome/Vacuole
P33897,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O74288,ECO:0000269,Secreted,Extracellular
G4MMH2,ECO:0000269,Secreted,Extracellular
U6BLZ9,ECO:0000269,Secreted,Extracellular
P22620,ECO:0000269,Cell surface,Extracellular
Q8K4K7,ECO:0000269,Cytoplasm,Cytoplasm
Q09927,ECO:0000269,Cytoplasm,Cytoplasm
O22218,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q7X8B5,ECO:0000269,Cell membrane,Cell.membrane
Q7XEK4,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
P28299,ECO:0000269,Glyoxysome,Peroxisome
Q6Z6M4,ECO:0000269,Glyoxysome,Peroxisome
P28240,ECO:0000269,Cytoplasm,Cytoplasm
P28240,ECO:0000269,Secreted,Extracellular
P28240,ECO:0000269,Vacuole,Lysosome/Vacuole
Q9P6J1,ECO:0000269,Cytoplasm,Cytoplasm
P09470,ECO:0000269,Cell membrane,Cell.membrane
P09470,ECO:0000269,Cytoplasm,Cytoplasm
Q8L856,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q8I948,ECO:0000269,Secreted,Extracellular
Q8I6R7,ECO:0000269,Secreted,Extracellular
O64894,ECO:0000269,Peroxisome,Peroxisome
O64894,ECO:0000269,Glyoxysome,Peroxisome
Q99424,ECO:0000269,Peroxisome,Peroxisome
P97562,ECO:0000269,Peroxisome,Peroxisome
O74935,ECO:0000269,Peroxisome,Peroxisome
P0CZ23,ECO:0000269,Peroxisome,Peroxisome
O74936,ECO:0000269,Peroxisome,Peroxisome
Q68CK6,ECO:0000269,Mitochondrion,Mitochondrion
Q9NUB1,ECO:0000269,Mitochondrion matrix,Mitochondrion
Q99NB1,ECO:0000269,Mitochondrion matrix,Mitochondrion
Q93ZG3,ECO:0000269,Nucleus,Nucleus
Q9NZK5,ECO:0000269,Secreted,Extracellular
Q9P7J7,ECO:0000269,Nucleus,Nucleus
P53909,ECO:0000269,Cytoplasm,Cytoplasm
P53909,ECO:0000269,Nucleus,Nucleus
Q8LFH6,ECO:0000269,Cytoplasm,Cytoplasm
Q39250,ECO:0000269,Cytoplasm,Cytoplasm
P05552,ECO:0000269,Nucleus,Nucleus
Q2V2Q1,ECO:0000269,Nucleus,Nucleus
Q15847,ECO:0000269,Nucleus,Nucleus
Q9LZG0,ECO:0000269,Cytoplasm,Cytoplasm
P55263,ECO:0000269,Nucleus,Nucleus
P55263,ECO:0000269,Cytoplasm,Cytoplasm
O22161,ECO:0000269,Nucleus,Nucleus
Q9M224,ECO:0000269,Nucleus,Nucleus
Q6GN67,ECO:0000269,Cytoplasm,Cytoplasm
P32493,ECO:0000269,Mitochondrion,Mitochondrion
Q08676,ECO:0000269,Secreted,Extracellular
Q06304,ECO:0000269,Secreted,Extracellular
Q39172,ECO:0000269,Cytoplasm,Cytoplasm
Q39172,ECO:0000269,Nucleus,Nucleus
P86920,ECO:0000269,Secreted,Extracellular
Q9LQ98,ECO:0000269,Nucleus,Nucleus
Q9LMX5,ECO:0000269,Nucleus,Nucleus
Q9S7Z2,ECO:0000269,Nucleus,Nucleus
Q9URZ0,ECO:0000269,Endoplasmic reticulum lumen,Endoplasmic.reticulum
Q9URZ0,ECO:0000269,Secreted,Extracellular
Q9UPQ3,ECO:0000269,Cytoplasm,Cytoplasm
D4GYG5,ECO:0000269,Cytoplasm,Cytoplasm
D4GYH0,ECO:0000269,Cell membrane,Cell.membrane
Q9FZA2,ECO:0000269,Secreted,Extracellular
Q8N157,ECO:0000269,Cytoplasm,Cytoplasm
Q8N157,ECO:0000269,Cell junction,Cell.membrane
Q8K3E5,ECO:0000269,Cytoplasm,Cytoplasm
Q9C5U2,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9C5U0,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q3S4A7,ECO:0000269,Cell membrane,Cell.membrane
Q3S4A7,ECO:0000269,Cytoplasm,Cytoplasm
Q9SJG4,ECO:0000269,Nucleus,Nucleus
P40502,ECO:0000269,Mitochondrion membrane,Mitochondrion
P40451,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
P38885,ECO:0000269,Mitochondrion,Mitochondrion
P38305,ECO:0000269,Cytoplasm,Cytoplasm
D4ARV2,ECO:0000269,Secreted,Extracellular
P84240,ECO:0000269,Secreted,Extracellular
P84242,ECO:0000269,Secreted,Extracellular
Q7Z591,ECO:0000269,Nucleus,Nucleus
Q80VW7,ECO:0000269,Cytoplasm,Cytoplasm
Q12802,ECO:0000269,Cytoplasm,Cytoplasm
Q12802,ECO:0000269,Nucleus,Nucleus
Q12802,ECO:0000269,Membrane,Cell.membrane
E9Q394,ECO:0000269,Cytoplasm,Cytoplasm
Q9ULX6,ECO:0000269,Nucleus,Nucleus
Q9ULX6,ECO:0000269,Nucleus matrix,Nucleus
Q9ULX6,ECO:0000269,Nucleus speckle,Nucleus
Q9ULX6,ECO:0000269,Cytoplasm,Cytoplasm
Q3T478,ECO:0000269,Secreted,Extracellular
P43636,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O82244,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P75713,ECO:0000269,Cytoplasm,Cytoplasm
Q9U389,ECO:0000269,Cytoplasm,Cytoplasm
Q68GV9,ECO:0000269,Secreted,Extracellular
Q9C7I5,ECO:0000269,Plastid,Plastid
Q8N7J2,ECO:0000269,Cell membrane,Cell.membrane
Q08902,ECO:0000269,Cell membrane,Cell.membrane
Q6UKI2,ECO:0000269,Secreted,Extracellular
Q9BXJ7,ECO:0000269,Apical cell membrane,Cell.membrane
Q9BXJ7,ECO:0000269,Cell membrane,Cell.membrane
Q9BXJ7,ECO:0000269,Secreted,Extracellular
Q99JB7,ECO:0000269,Apical cell membrane,Cell.membrane
C5H0C7,ECO:0000269,Secreted,Extracellular
O74315,ECO:0000269,Nucleus,Nucleus
Q8BXQ6,ECO:0000269,Nucleus,Nucleus
F4JQH3,ECO:0000269,Cytoplasm,Cytoplasm
F4JQH3,ECO:0000269,Cell membrane,Cell.membrane
F4JQH3,ECO:0000269,Microsome membrane,Endoplasmic.reticulum
P30533,ECO:0000269,Golgi apparatus,Golgi.apparatus
P30533,ECO:0000269,Golgi apparatus lumen,Golgi.apparatus
P30533,ECO:0000269,Cell surface,Extracellular
Q9URT4,ECO:0000269,Nucleus,Nucleus
Q9URT4,ECO:0000269,Chromosome,Nucleus
Q5PNU3,ECO:0000269,Membrane,Cell.membrane
Q5PNU3,ECO:0000269,Cytoplasm,Cytoplasm
P85843,ECO:0000269,Secreted,Extracellular
P03950,ECO:0000269,Nucleus,Nucleus
O95841,ECO:0000269,Secreted,Extracellular
O82210,ECO:0000269,Nucleus,Nucleus
O82210,ECO:0000269,Cytoplasm,Cytoplasm
Q84W92,ECO:0000269,Nucleus,Nucleus
Q9U2X0,ECO:0000269,Cytoplasm,Cytoplasm
A8IEF3,ECO:0000269,Nucleus,Nucleus
Q99873,ECO:0000269,Nucleus,Nucleus
Q99873,ECO:0000269,Cytoplasm,Cytoplasm
Q9JIF0,ECO:0000269,Nucleus,Nucleus
Q9JIF0,ECO:0000269,Cytoplasm,Cytoplasm
Q63009,ECO:0000269,Cytoplasm,Cytoplasm
A2AS55,ECO:0000269,Cytoplasm,Cytoplasm
A2AS55,ECO:0000269,Nucleus,Nucleus
O75179,ECO:0000269,Cytoplasm,Cytoplasm
O75179,ECO:0000269,Nucleus,Nucleus
Q811D2,ECO:0000269,Cytoplasm,Cytoplasm
Q96NW4,ECO:0000269,Lysosome,Lysosome/Vacuole
Q96NW4,ECO:0000269,Cell membrane,Cell.membrane
Q3UMR0,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
O15084,ECO:0000269,Nucleus,Nucleus
P21396,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
P85216,ECO:0000269,Secreted,Extracellular
P24813,ECO:0000269,Cytoplasm,Cytoplasm
P24813,ECO:0000269,Nucleus,Nucleus
Q9H0R1,ECO:0000269,Cytoplasm,Cytoplasm
Q9NUS5,ECO:0000269,Cytoplasm,Cytoplasm
O43299,ECO:0000269,Cytoplasm,Cytoplasm
O43299,ECO:0000269,Nucleus,Nucleus
B5XRA9,ECO:0000269,Cytoplasm,Cytoplasm
C0HKX9,ECO:0000269,Secreted,Extracellular
C0HKY0,ECO:0000269,Secreted,Extracellular
Q06602,ECO:0000269,Secreted,Extracellular
C0HKX6,ECO:0000269,Secreted,Extracellular
C0HKX7,ECO:0000269,Secreted,Extracellular
C0HKX3,ECO:0000269,Secreted,Extracellular
C0HKX5,ECO:0000269,Secreted,Extracellular
C0HKX4,ECO:0000269,Secreted,Extracellular
Q5XF07,ECO:0000269,Nucleus,Nucleus
Q9JHG3,ECO:0000269,Cell membrane,Cell.membrane
Q43295,ECO:0000269,Plastid,Plastid
O49196,ECO:0000269,Plastid,Plastid
Q9SRW7,ECO:0000269,Cytoplasm,Cytoplasm
Q84JF0,ECO:0000269,Plastid,Plastid
A1Z9X0,ECO:0000269,Cytoplasm,Cytoplasm
A1Z9X0,ECO:0000269,Apicolateral cell membrane,Cell.membrane
B8AVJ9,ECO:0000269,Nucleus,Nucleus
A0A0N7KJT8,ECO:0000269,Nucleus,Nucleus
P86829,ECO:0000269,Secreted,Extracellular
P02655,ECO:0000269,Secreted,Extracellular
A2VEY9,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
A2VEY9,ECO:0000269,Apical cell membrane,Cell.membrane
O94353,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q21227,ECO:0000269,Cell junction,Cell.membrane
Q21227,ECO:0000269,Cytoplasm,Cytoplasm
Q21227,ECO:0000269,Nucleus,Nucleus
T2G6Z9,ECO:0000269,Cytoplasm,Cytoplasm
P56627,ECO:0000269,Cell membrane,Cell.membrane
Q54WT8,ECO:0000269,Cell membrane,Cell.membrane
Q54WT8,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q9D385,ECO:0000269,Cytoplasm,Cytoplasm
Q9D385,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
